District,Area (Ha),Production (Tonnes),Year,Disruption,Severity (%),Production Loss (Tonnes),Adjusted Production (Tonnes),Description
Thiruvananthapuram,2264.23,959.8,2001,0,0,0.0,959.8,"In 2001, the district Thiruvananthapuram had an area of 2264.23 hectares dedicated to pepper cultivation, producing 959.8 tonnes without any disruptions."
Kollam,3480.09,1142.26,2001,0,0,0.0,1142.26,"In 2001, the district Kollam had an area of 3480.09 hectares dedicated to pepper cultivation, producing 1142.26 tonnes without any disruptions."
Pathanamthitta,1746.6,612.9,2001,0,0,0.0,612.9,"In 2001, the district Pathanamthitta had an area of 1746.6 hectares dedicated to pepper cultivation, producing 612.9 tonnes without any disruptions."
Alappuzha,622.08,135.32,2001,0,0,0.0,135.32,"In 2001, the district Alappuzha had an area of 622.08 hectares dedicated to pepper cultivation, producing 135.32 tonnes without any disruptions."
Kottayam,3104.41,1110.44,2001,0,0,0.0,1110.44,"In 2001, the district Kottayam had an area of 3104.41 hectares dedicated to pepper cultivation, producing 1110.44 tonnes without any disruptions."
Idukki,41225.3,24617.96,2001,0,0,0.0,24617.96,"In 2001, the district Idukki had an area of 41225.3 hectares dedicated to pepper cultivation, producing 24617.96 tonnes without any disruptions."
Ernakulam,1784.49,503.71,2001,0,0,0.0,503.71,"In 2001, the district Ernakulam had an area of 1784.49 hectares dedicated to pepper cultivation, producing 503.71 tonnes without any disruptions."
Thrissur,1855.55,496.54,2001,0,0,0.0,496.54,"In 2001, the district Thrissur had an area of 1855.55 hectares dedicated to pepper cultivation, producing 496.54 tonnes without any disruptions."
Palakkad,2535.38,963.65,2001,0,0,0.0,963.65,"In 2001, the district Palakkad had an area of 2535.38 hectares dedicated to pepper cultivation, producing 963.65 tonnes without any disruptions."
Malappuram,2999.13,469.57,2001,0,0,0.0,469.57,"In 2001, the district Malappuram had an area of 2999.13 hectares dedicated to pepper cultivation, producing 469.57 tonnes without any disruptions."
Kozhikode,3307.45,889.22,2001,0,0,0.0,889.22,"In 2001, the district Kozhikode had an area of 3307.45 hectares dedicated to pepper cultivation, producing 889.22 tonnes without any disruptions."
Wayanad,13085.29,6902.81,2001,0,0,0.0,6902.81,"In 2001, the district Wayanad had an area of 13085.29 hectares dedicated to pepper cultivation, producing 6902.81 tonnes without any disruptions."
Kannur,4410.92,1604.63,2001,0,0,0.0,1604.63,"In 2001, the district Kannur had an area of 4410.92 hectares dedicated to pepper cultivation, producing 1604.63 tonnes without any disruptions."
Kasaragode,2667.98,1154.8,2001,0,0,0.0,1154.8,"In 2001, the district Kasaragode had an area of 2667.98 hectares dedicated to pepper cultivation, producing 1154.8 tonnes without any disruptions."
Thiruvananthapuram,2220.04,941.07,2002,0,0,0.0,941.07,"In 2002, the district Thiruvananthapuram had an area of 2220.04 hectares dedicated to pepper cultivation, producing 941.07 tonnes without any disruptions."
Kollam,3224.57,1058.39,2002,0,0,0.0,1058.39,"In 2002, the district Kollam had an area of 3224.57 hectares dedicated to pepper cultivation, producing 1058.39 tonnes without any disruptions."
