District,Area (Ha),Production (Tonnes),Year,Disruption,Severity (%),Production Loss (Tonnes),Adjusted Production (Tonnes)
Thiruvananthapuram,2264.23,959.8,2001,0,0,0.0,959.8
Kollam,3480.09,1142.26,2001,0,0,0.0,1142.26
Pathanamthitta,1746.6,612.9,2001,0,0,0.0,612.9
Alappuzha,622.08,135.32,2001,0,0,0.0,135.32
Kottayam,3104.41,1110.44,2001,0,0,0.0,1110.44
Idukki,41225.3,24617.96,2001,0,0,0.0,24617.96
Ernakulam,1784.49,503.71,2001,0,0,0.0,503.71
Thrissur,1855.55,496.54,2001,0,0,0.0,496.54
Palakkad,2535.38,963.65,2001,0,0,0.0,963.65
Malappuram,2999.13,469.57,2001,0,0,0.0,469.57
Kozhikode,3307.45,889.22,2001,0,0,0.0,889.22
Wayanad,13085.29,6902.81,2001,0,0,0.0,6902.81
Kannur,4410.92,1604.63,2001,0,0,0.0,1604.63
Kasaragode,2667.98,1154.8,2001,0,0,0.0,1154.8
Thiruvananthapuram,2220.04,941.07,2002,0,0,0.0,941.07
Kollam,3224.57,1058.39,2002,0,0,0.0,1058.39
Pathanamthitta,1673.58,587.27,2002,0,0,0.0,587.27
Alappuzha,617.52,134.33,2002,0,0,0.0,134.33
Kottayam,3193.12,1142.17,2002,0,0,0.0,1142.17
Idukki,41802.67,24962.74,2002,0,0,0.0,24962.74
Ernakulam,1887.88,532.89,2002,0,0,0.0,532.89
Thrissur,1725.47,461.73,2002,0,0,0.0,461.73
Palakkad,2457.83,934.17,2002,0,0,0.0,934.17
Malappuram,2898.74,453.85,2002,0,0,0.0,453.85
Kozhikode,3458.74,929.9,2002,0,0,0.0,929.9
Wayanad,12854.41,6781.01,2002,0,0,0.0,6781.01
Kannur,4140.79,1506.36,2002,0,0,0.0,1506.36
Kasaragode,2750.91,1190.69,2002,0,0,0.0,1190.69
Thiruvananthapuram,2314.19,980.98,2003,0,0,0.0,980.98
Kollam,3178.97,1043.43,2003,0,0,0.0,1043.43
Pathanamthitta,1725.36,605.44,2003,0,0,0.0,605.44
Alappuzha,595.7,129.58,2003,0,0,0.0,129.58
Kottayam,3075.16,1099.98,2003,0,0,0.0,1099.98
Idukki,44610.47,26639.43,2003,0,0,0.0,26639.43
Ernakulam,1953.93,551.54,2003,0,0,0.0,551.54
Thrissur,1845.2,493.77,2003,0,0,0.0,493.77
Palakkad,2460.96,935.36,2003,0,0,0.0,935.36
Malappuram,2819.8,441.49,2003,0,0,0.0,441.49
Kozhikode,3538.0,951.21,2003,0,0,0.0,951.21
Wayanad,12423.2,6553.54,2003,0,0,0.0,6553.54
Kannur,4107.65,1494.3,2003,0,0,0.0,1494.3
Kasaragode,2745.68,1188.43,2003,0,0,0.0,1188.43
Thiruvananthapuram,2186.24,926.74,2004,0,0,0.0,926.74
Kollam,3466.3,1137.74,2004,0,0,0.0,1137.74
